Ramas de actividad;Tipo de indicador;Tamaño de la empresa;Total
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);- Exclusivamente innovadoras de procesos de negocio;Total;42
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;..
2.1. Industrias extractivas (CNAE 05, 06, 07, 08, 09);Empresas innovadoras de producto y de procesos de negocio;Total;22
2.2. Industrias del petróleo (CNAE 19);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;..
2.2. Industrias del petróleo (CNAE 19);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;..
2.2. Industrias del petróleo (CNAE 19);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;..
2.2. Industrias del petróleo (CNAE 19);Total de empresas innovadoras (producto y/o procesos de negocio);Total;5
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto;De 10 a 49 empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto;De 50 a 249 empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto;250 y más empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto;Total;5
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;..
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;..
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de producto;250 y más empleados;..
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de producto;Total;.
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de procesos de negocio;250 y más empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de procesos de negocio;Total;5
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;..
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;..
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;..
2.2. Industrias del petróleo (CNAE 19);- Exclusivamente innovadoras de procesos de negocio;Total;.
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;..
2.2. Industrias del petróleo (CNAE 19);Empresas innovadoras de producto y de procesos de negocio;Total;5
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;1.100
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;452
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;195
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Total de empresas innovadoras (producto y/o procesos de negocio);Total;1.747
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto;De 10 a 49 empleados;626
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto;De 50 a 249 empleados;330
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto;250 y más empleados;163
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto;Total;1.119
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;154
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;62
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de producto;250 y más empleados;10
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de producto;Total;226
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;946
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;390
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de procesos de negocio;250 y más empleados;185
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de procesos de negocio;Total;1.521
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;474
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;122
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;31
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);- Exclusivamente innovadoras de procesos de negocio;Total;628
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;472
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;268
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;153
3. Alimentación, bebidas y tabaco (CNAE 10, 11, 12);Empresas innovadoras de producto y de procesos de negocio;Total;893
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;588
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;166
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;23
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Total de empresas innovadoras (producto y/o procesos de negocio);Total;776
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto;De 10 a 49 empleados;285
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto;De 50 a 249 empleados;111
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto;250 y más empleados;17
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto;Total;412
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;70
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;18
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de producto;250 y más empleados;2
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de producto;Total;90
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;518
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;147
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de procesos de negocio;250 y más empleados;21
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de procesos de negocio;Total;686
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;303
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;54
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;6
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);- Exclusivamente innovadoras de procesos de negocio;Total;364
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;214
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;93
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;15
4. Textil, confección, cuero y calzado (CNAE 13, 14, 15);Empresas innovadoras de producto y de procesos de negocio;Total;322
4.1. Textil (CNAE 13);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;235
4.1. Textil (CNAE 13);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;84
4.1. Textil (CNAE 13);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;8
4.1. Textil (CNAE 13);Total de empresas innovadoras (producto y/o procesos de negocio);Total;327
4.1. Textil (CNAE 13);Empresas innovadoras de producto;De 10 a 49 empleados;127
4.1. Textil (CNAE 13);Empresas innovadoras de producto;De 50 a 249 empleados;57
4.1. Textil (CNAE 13);Empresas innovadoras de producto;250 y más empleados;7
4.1. Textil (CNAE 13);Empresas innovadoras de producto;Total;191
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;20
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;12
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de producto;250 y más empleados;1
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de producto;Total;33
4.1. Textil (CNAE 13);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;215
4.1. Textil (CNAE 13);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;72
4.1. Textil (CNAE 13);Empresas innovadoras de procesos de negocio;250 y más empleados;7
4.1. Textil (CNAE 13);Empresas innovadoras de procesos de negocio;Total;294
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;108
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;27
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;1
4.1. Textil (CNAE 13);- Exclusivamente innovadoras de procesos de negocio;Total;136
4.1. Textil (CNAE 13);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;107
4.1. Textil (CNAE 13);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;45
4.1. Textil (CNAE 13);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;6
4.1. Textil (CNAE 13);Empresas innovadoras de producto y de procesos de negocio;Total;158
4.2. Confección (CNAE 14);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;146
4.2. Confección (CNAE 14);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;..
4.2. Confección (CNAE 14);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;..
4.2. Confección (CNAE 14);Total de empresas innovadoras (producto y/o procesos de negocio);Total;190
4.2. Confección (CNAE 14);Empresas innovadoras de producto;De 10 a 49 empleados;84
4.2. Confección (CNAE 14);Empresas innovadoras de producto;De 50 a 249 empleados;..
4.2. Confección (CNAE 14);Empresas innovadoras de producto;250 y más empleados;..
4.2. Confección (CNAE 14);Empresas innovadoras de producto;Total;108
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;39
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;..
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de producto;250 y más empleados;..
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de producto;Total;42
4.2. Confección (CNAE 14);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;107
4.2. Confección (CNAE 14);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;..
4.2. Confección (CNAE 14);Empresas innovadoras de procesos de negocio;250 y más empleados;..
4.2. Confección (CNAE 14);Empresas innovadoras de procesos de negocio;Total;148
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de procesos de negocio;De 10 a 49 empleados;63
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de procesos de negocio;De 50 a 249 empleados;..
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de procesos de negocio;250 y más empleados;..
4.2. Confección (CNAE 14);- Exclusivamente innovadoras de procesos de negocio;Total;82
4.2. Confección (CNAE 14);Empresas innovadoras de producto y de procesos de negocio;De 10 a 49 empleados;45
4.2. Confección (CNAE 14);Empresas innovadoras de producto y de procesos de negocio;De 50 a 249 empleados;..
4.2. Confección (CNAE 14);Empresas innovadoras de producto y de procesos de negocio;250 y más empleados;..
4.2. Confección (CNAE 14);Empresas innovadoras de producto y de procesos de negocio;Total;66
4.3. Cuero y calzado (CNAE 15);Total de empresas innovadoras (producto y/o procesos de negocio);De 10 a 49 empleados;207
4.3. Cuero y calzado (CNAE 15);Total de empresas innovadoras (producto y/o procesos de negocio);De 50 a 249 empleados;..
4.3. Cuero y calzado (CNAE 15);Total de empresas innovadoras (producto y/o procesos de negocio);250 y más empleados;..
4.3. Cuero y calzado (CNAE 15);Total de empresas innovadoras (producto y/o procesos de negocio);Total;259
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto;De 10 a 49 empleados;74
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto;De 50 a 249 empleados;..
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto;250 y más empleados;..
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de producto;Total;114
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de producto;De 10 a 49 empleados;11
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de producto;De 50 a 249 empleados;..
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de producto;250 y más empleados;..
4.3. Cuero y calzado (CNAE 15);- Exclusivamente innovadoras de producto;Total;15
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de procesos de negocio;De 10 a 49 empleados;195
4.3. Cuero y calzado (CNAE 15);Empresas innovadoras de procesos de negocio;De 50 a 249 empleados;..
